source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0007059	chromosome segregation	5.690302021082573e-15	True	"""The process in which genetic material, in the form of chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. In eukaryotes, chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:jl, GOC:mah, GOC:mtg_cell_cycle, GOC:vw]"	427	883	63	21026	0.07134767836919592	0.14754098360655737	query_1	['GO:0022402']
GO:BP	GO:0098813	nuclear chromosome segregation	5.148273283300443e-11	True	"""The process in which genetic material, in the form of nuclear chromosomes, is organized into specific structures and then physically separated and apportioned to two or more sets. Nuclear chromosome segregation begins with the condensation of chromosomes, includes chromosome separation, and ends when chromosomes have completed movement to the spindle poles."" [GOC:dos]"	323	883	48	21026	0.05436013590033975	0.14860681114551083	query_1	['GO:0007059']
GO:BP	GO:1903047	mitotic cell cycle process	7.08570133366989e-11	True	"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]"	745	883	79	21026	0.08946772366930918	0.10604026845637583	query_1	['GO:0000278', 'GO:0022402']
GO:BP	GO:0022402	cell cycle process	7.337771789913595e-11	True	"""The cellular process that ensures successive accurate and complete genome replication and chromosome segregation."" [GOC:isa_complete, GOC:mtg_cell_cycle]"	1280	883	113	21026	0.12797281993204984	0.08828125	query_1	['GO:0007049', 'GO:0009987']
GO:BP	GO:0007049	cell cycle	1.145744036110713e-10	True	"""The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."" [GOC:go_curators, GOC:mtg_cell_cycle]"	1663	883	135	21026	0.15288788221970556	0.08117859290438965	query_1	['GO:0009987']
GO:BP	GO:0000070	mitotic sister chromatid segregation	4.856471097466788e-10	True	"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]"	193	883	35	21026	0.039637599093997736	0.18134715025906736	query_1	['GO:0000819', 'GO:0140014', 'GO:1903047']
GO:BP	GO:0000819	sister chromatid segregation	1.6651119938805167e-09	True	"""The cell cycle process in which sister chromatids are organized and then physically separated and apportioned to two or more sets."" [GOC:ai, GOC:elh]"	234	883	38	21026	0.04303510758776897	0.1623931623931624	query_1	['GO:0051276', 'GO:0098813']
GO:BP	GO:0140014	mitotic nuclear division	2.0533835752989883e-09	True	"""A mitotic cell cycle process comprising the steps by which the nucleus of a eukaryotic cell divides; the process involves condensation of chromosomal DNA into a highly compacted form. Canonically, mitosis produces two daughter nuclei whose chromosome complement is identical to that of the mother cell."" [ISBN:0198547684]"	282	883	42	21026	0.04756511891279728	0.14893617021276595	query_1	['GO:0000280', 'GO:1903047']
GO:BP	GO:0000278	mitotic cell cycle	2.7712273718283407e-09	True	"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]"	892	883	85	21026	0.09626274065685164	0.0952914798206278	query_1	['GO:0007049']
GO:BP	GO:0051276	chromosome organization	6.295745126126953e-08	True	"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	574	883	61	21026	0.06908267270668177	0.10627177700348432	query_1	['GO:0006996']
