Feature	Importance
f44	62.54020690917969
f27	32.60816192626953
f4	32.08761215209961
f36	30.459110260009766
f22	28.064435958862305
f10	22.554262161254883
f37	21.46643829345703
f21	21.029333114624023
f29	17.968082427978516
f49	16.74734115600586
f6	16.688570022583008
f20	16.124324798583984
f8	12.869939804077148
f15	12.814020156860352
f0	12.255252838134766
f9	12.121732711791992
f1	11.186612129211426
f45	10.832143783569336
f42	10.210649490356445
f48	9.026543617248535
f40	1.1436147689819336
f47	0.9024190902709961
f28	0.4121894836425781
