	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
TCGA-D8-A146-01A	0.77831334	1.0491471	-1.1628655	-0.3208857	-2.2916229	5.8700423	-0.71478546	0.9709619	1.5904596	0.7565364	0.16301282	1.5992167	1.0152373	1.7832985	-0.23371221	2.8045173	2.1630783	0.33610514	3.1161056	0.9790167	-0.24960907	-0.29723743	1.2859309	0.29195338	1.3261424	0.8366156	5.437081	0.9060969	-0.14322478	-0.18230131	0.5331878	-1.6309043	-0.17083901	0.20925876	-0.1566954	0.78438383	1.5793964	0.47819024	-0.6310536	1.995228	-0.042411536	2.0159395	0.9189944	2.244456	1.1926572	-0.58112925	6.4630423	-1.6851465	0.07804048	1.325767
TCGA-AQ-A0Y5-01A	-0.60906637	1.0695283	-0.26187566	-0.4471788	-0.18541686	1.9117671	0.50167143	1.2024642	2.3700438	-0.08488571	-1.789272	0.35610452	-1.0924886	1.2826512	-1.2657557	2.3218822	-0.051496983	-1.5863734	-1.8590002	0.19965538	1.4790312	0.23679522	1.2943596	-0.054403603	0.59189683	1.3192091	0.086931705	-0.27086782	0.9087485	0.250641	1.969393	1.090872	-0.95099723	-2.1219525	2.34502	0.7054711	-1.4781243	1.1544814	-0.25500026	-1.0651897	-0.15499465	-1.9199427	-0.8216793	-1.5755996	0.85717857	0.17634825	-1.3856703	-0.81692386	-1.7593894	1.4903345
TCGA-C8-A274-01A	1.0701668	-1.3174703	1.0740881	0.03570044	-0.93490815	1.3622445	-1.4615583	1.8921999	0.7040268	-0.21740656	-0.61529166	1.5808212	-0.8370149	-0.13032639	0.77742714	2.6691377	3.7730222	1.1883173	1.9036151	-0.32584527	0.57095146	-0.15804867	0.34173697	1.0109395	-0.5745587	0.22173825	1.9627454	3.0856037	0.80801666	2.111581	-0.60214376	0.88223785	-1.5750085	0.09310016	-0.57404375	2.5085454	-1.4347893	0.108481586	-0.7327523	-0.39762276	0.5335512	2.8449936	0.20086876	3.042838	1.0266464	0.039384786	4.4554806	0.42385796	2.657305	3.9610953
TCGA-BH-A0BD-01A	1.7422323	0.032712676	0.5520766	0.69246894	-0.22829047	1.0367259	1.4251717	-0.8346723	1.810715	2.1291893	1.1694376	-0.28888652	-1.7168176	-1.3319447	-0.49886873	2.0708487	-0.33055544	0.1823914	0.626368	0.9028335	-1.8872234	1.443859	-0.3696744	-0.89401233	-2.050307	-0.6823097	-2.0666416	4.416872	-1.0047419	0.6958233	-0.01656065	0.25067198	-0.07864262	0.73451126	2.2739666	2.2736292	-0.53984874	0.10494763	-1.2300582	0.116494164	-0.27812406	-1.8296136	0.19038962	1.4799232	1.7911791	0.0605329	-0.4331336	-0.26529524	1.7832612	4.265554
TCGA-B6-A1KC-01B	-0.04109494	0.018257242	0.75948757	3.4633987	0.5540688	2.6861553	-0.26194146	-1.2197719	0.9976634	-0.33119237	0.43011746	-0.18752104	-2.4974868	0.7892883	0.3298831	0.31647587	2.2464242	1.449079	-0.725024	-1.4121473	0.2090266	0.8933873	-1.2626243	-1.0482072	-1.4407262	-1.2761844	2.4918966	-0.9034317	0.93603504	0.35407826	0.27299786	-0.7150364	1.6963413	-0.44659898	0.30406183	2.4244218	-1.3298787	-1.0196468	0.27850533	-1.1775674	0.33820954	-0.44148266	0.87718105	1.3069516	1.1948308	1.1899245	1.493104	0.3101636	0.09327161	-0.6097427
TCGA-AC-A62V-01A	-0.8740237	0.57102513	-0.6193955	1.8147521	1.0208601	3.5048594	0.7542645	0.024722874	-1.222157	0.26747766	-1.1504114	-0.7033155	0.15614468	-1.2262917	0.143957	1.3693845	0.12088175	0.7989706	3.692034	1.1665711	0.144815	0.7790549	0.15542841	-0.94627714	3.1207275	0.429945	-0.27277088	2.9368858	-0.66499096	1.4215323	2.0673656	1.7907085	-2.118804	-0.65034664	-1.0759182	1.3385292	2.3352838	1.0732725	5.6239624	0.9325713	3.0245204	-0.056409404	-0.39516854	0.8792056	0.19036508	-1.5506365	-0.3053341	-0.29400223	1.1043773	-1.4782916
TCGA-AO-A0J5-01A	0.6745563	-0.55342466	0.88003147	-0.39406604	1.4335196	-0.9143225	0.86991185	0.33413833	1.7456441	1.0766883	0.123837344	-0.7307396	-1.0982549	2.2734299	0.2024566	1.9495423	0.57676685	0.3787276	0.24798387	-1.4508651	-1.0347745	-0.91468304	0.40783897	-1.1825409	-1.5979675	2.1255288	0.594877	0.8102125	0.28142875	0.37248552	0.36758193	1.1407316	0.411243	0.21671402	-1.2617229	0.9397915	0.20657942	-0.03129989	-0.66215754	-0.25036162	1.4560128	-1.1214212	-1.4516786	3.0181985	-0.40585363	-2.7375886	-0.027246475	0.8797665	2.459715	1.6850514
TCGA-BH-A0B1-01A	0.9788692	0.46490976	-1.3221278	-1.2031695	2.4864028	2.9271078	-0.32948565	0.9310813	0.5167918	1.4037321	-0.9750528	0.33436838	0.42597416	0.67994815	-0.16431765	3.566149	-2.8877802	0.87048995	-0.12011756	0.9722651	-0.1885718	0.40772888	-1.0686677	-1.0096204	0.11962845	-0.3539475	-1.6319214	2.3886518	2.7940638	-0.057792842	-0.312675	-0.11005956	-1.0076301	-0.90152484	3.1990833	3.4247193	0.018733615	-0.34100902	0.67295086	0.01462093	0.3989889	-0.67022985	-0.41504186	0.0844906	-0.16970962	-0.34347293	2.6759381	-0.64388347	3.6847906	0.83726454
TCGA-A2-A0YM-01A	-1.0543381	1.1504599	-1.5273383	-0.26558852	0.8052819	-0.95903	0.5289734	4.900097	-1.3233318	4.2895613	0.28685683	-0.5966105	-0.5388862	1.2832932	-1.5915267	0.16191572	0.56555045	4.118258	-1.6897619	-0.30859053	-1.032144	1.0109216	1.1190336	0.9950802	-1.7288657	0.3029283	1.1192521	0.029849589	1.3838303	0.5558086	4.146906	-0.9170797	1.5053658	2.0203834	1.3988924	-0.7858804	0.9561386	1.6674014	-0.05268712	-0.03173566	-0.71971077	-0.8481025	0.8019159	1.4698213	-0.38511145	-0.33848318	1.0059973	6.5911665	-0.6443408	0.9982366
TCGA-AO-A03N-01B	0.59635043	0.6004013	1.2686077	-0.57071304	-0.39019233	-0.15006429	1.580275	1.128839	1.468485	0.027115624	-0.3858852	4.420695	0.9983864	-0.5856331	-0.81441283	-0.7561827	-0.33561462	-1.1830685	2.219794	-0.47570732	1.3683175	-0.9885743	0.7985898	-1.0117203	2.952657	-1.1725361	-0.0681969	0.60202193	1.2548797	-1.3340594	0.73095083	-0.9354186	2.2123787	0.9744623	0.52374065	-0.5748256	0.47623026	0.308384	1.4964976	3.0033927	1.3316389	1.1451142	0.058990907	-1.1740994	1.0188496	0.5460094	0.089905754	0.26015946	0.93085194	1.0883744
TCGA-AO-A1KQ-01A	-0.037445646	1.5824561	3.2930694	5.486503	1.3412434	-0.2564479	0.7957176	1.3876452	-1.2699629	-0.5983666	-1.4998647	-1.152562	-0.17709477	0.8502655	-1.088958	0.2875418	-0.4717277	1.1420343	1.6350578	-0.25936532	-1.2885365	1.039652	2.1611977	4.094722	1.9914	0.3469468	-0.9544248	0.9469894	-0.35742515	5.010266	-0.40890694	1.3974235	-0.39591777	1.3546628	-0.47305918	0.27271396	0.5545634	0.45397848	4.7884007	-0.421301	0.62923247	0.30017284	0.01794612	0.9427343	-0.461452	-2.197161	-1.8152627	-3.0046015	-1.4667248	-1.3196983
TCGA-E2-A1LI-01A	0.88802207	-1.0011556	-0.8240601	-0.9657856	1.7827637	-0.4006133	-1.1942254	1.1791513	0.5454403	-2.0305533	-0.9246818	-0.41755858	0.18269148	-1.5521921	1.3179556	0.2458719	0.9338041	3.1303926	1.100654	-3.841995	0.068444	0.5566139	0.8861613	0.80723304	-2.1571956	-1.4147512	0.7341009	0.7009071	1.9866056	-0.7944685	1.7259032	2.4362102	-0.96909183	1.764445	1.7459873	-2.070006	0.6920054	0.14564268	0.86072725	0.051745713	1.1770499	-1.1535459	6.6813674	-2.521025	-0.3389691	0.6714213	0.36474198	1.3339149	1.5337752	0.045039844
TCGA-BH-A18L-11A	-1.6493698	-0.95657253	2.0834901	-0.571367	-1.392143	-0.51117694	1.5613787	-0.044572636	-0.013387235	6.2010865	-1.2185698	0.24708872	2.5276475	1.7630479	-1.5812931	0.70662254	2.2467701	-0.5412146	-0.4278134	-0.30899894	3.819869	0.012768458	1.9600649	0.18131764	-0.3873433	4.274802	3.5001843	-0.35383573	1.9839683	-1.681419	-1.3135937	-1.2118285	0.06269622	0.16778603	-1.9432902	1.3556458	3.3655875	-0.531327	-0.357741	4.491128	0.3422627	1.5600855	2.9863238	0.17387336	-0.7495668	-0.0018371401	0.35610554	0.2797343	1.1325748	-0.30662552
TCGA-B6-A0WV-01A	-1.1331444	0.45191175	2.7364979	1.9166918	1.4386432	-0.027809978	1.0072482	0.2526192	-0.64005613	0.41547218	-1.6816572	0.7808995	0.005260378	-0.041004777	1.1329302	-2.4902282	1.2093091	0.18013708	1.4513028	0.10327235	-1.2332219	1.3739959	0.9294976	0.8418797	0.32309026	-0.41784933	1.9319274	0.7217219	-0.15320718	0.6233855	0.14563556	-0.16985252	0.11598886	-0.69726	-0.5340904	2.2475817	-1.7646687	1.78376	-0.5572599	-1.2872639	1.8370229	-2.111966	-0.8225843	-1.0395699	-1.0714684	0.35659543	2.6839132	0.61473554	0.6664317	5.6294603
TCGA-E2-A1LE-01A	0.7600133	0.3169936	1.8076957	1.5930439	2.5440602	-0.5213975	0.35524446	0.14863908	-0.51560783	0.104829445	0.50911313	1.0245147	-0.7151999	-1.5718107	1.7378724	0.20401031	-0.66649556	0.8000821	1.4645492	2.497435	-0.53559184	-1.1907701	-1.1573809	1.8372394	-1.695716	0.3472501	-0.20182323	-0.075804755	1.1595031	0.5590048	-1.0764519	0.9809113	-1.9196397	-0.35008287	0.7995242	1.4541794	0.17899445	1.5789639	0.9343233	-1.3701537	-0.70952165	1.3633562	-0.095060386	1.0117006	2.6978178	-1.6203948	-0.14288706	0.9386113	-0.5171312	-0.8839832
