	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
TCGA-D8-A146-01A	-4.278148	2.0449803	4.392534	2.7818785	4.058277	0.95833254	0.8069046	1.1260463	1.4454448	0.027123362	-0.3697428	0.007217407	-1.7081127	-1.5078107	-1.5643399	1.3624659	-0.0015144944	-0.29596257	0.33787918	1.1558921	0.45290643	-0.22161654	0.87324274	1.0751935	-0.30321795	-2.177023	0.8015614	-1.3592	1.8391789	1.653154	-1.4403667	0.7337726	1.3369715	4.362949	0.3780679	-0.007831216	0.082277596	0.76626873	-3.465205	-0.27088994	-0.7640388	-0.8034418	-0.57313776	1.4149369	2.5400982	0.8674932	0.7228544	2.1249304	-0.08912401	-1.213015
TCGA-AQ-A0Y5-01A	0.45623067	-0.91531545	-0.16425523	-0.8315005	0.6927608	-0.8849724	0.4659139	-1.080233	0.20119582	-0.51983	-0.45670137	1.4855924	-0.31696418	-1.3646678	0.15151155	0.08806576	-1.317784	-2.7966924	0.21586818	-0.02500913	-0.8127181	-0.38210636	0.23392987	0.25640073	-0.83614194	0.1618266	0.017983288	0.27816677	-0.32626405	0.04913401	0.5748788	0.5004787	-1.0135891	0.05184277	-0.86731696	-0.8215062	0.8578223	-0.40774953	0.26116413	0.11857687	0.9497681	0.0041247755	0.94360924	0.64553326	1.0520163	0.54366684	0.44757143	0.09388107	0.29083785	-0.35856712
TCGA-C8-A274-01A	-3.7076058	-0.13512442	0.090115756	1.0688338	2.3716404	0.44036442	0.018715411	0.5757196	-0.47960734	-1.3532662	-0.8558707	0.32188138	-0.9405657	-2.942018	-1.2216371	-1.0212826	0.5326692	-0.9907036	0.46027485	2.6615005	0.51227546	-0.5153433	-1.0128545	0.26679492	-1.2319934	-0.24474682	0.48640752	-1.5582045	0.27638215	-0.46026993	1.244687	-0.06056475	-0.08264301	0.5825126	1.5588481	1.1540451	1.7437406	0.6264242	-3.1810875	0.33865613	-0.48818526	-0.44528243	-1.8844104	-0.30739152	4.670229	1.3352816	0.6437095	1.3160026	-0.25954863	-1.8374176
TCGA-BH-A0BD-01A	-0.9070573	1.0163249	-0.07067914	0.5424485	-1.1052227	1.2762482	1.1685156	-0.31805855	-0.14075552	-0.96709454	0.44632795	-1.500663	-1.1370445	1.4064283	-0.35831946	0.834981	-0.64362943	-0.68879783	-0.82803947	-1.1976917	1.3813908	-0.4858211	-0.8486438	-0.98050416	0.22338235	0.6150881	0.15918244	-0.49024415	-0.15865636	0.6910727	-0.20871864	0.68479633	-0.34359854	2.3230417	0.79782295	-0.58460355	1.3640296	0.7661772	-2.0285482	0.61154956	1.0020703	-0.6153964	1.9739739	-0.36878753	0.14529914	-1.0353935	-0.3361085	0.19925947	-0.1402869	0.854899
TCGA-B6-A1KC-01B	0.94476026	0.088738084	0.48086226	-0.6511265	-0.3237856	0.34838045	-0.45322618	1.0320122	0.19536936	0.62040913	0.73646665	0.6826237	1.3102893	-1.2192599	0.055727415	1.4475203	-1.0579884	0.9054867	-0.19926651	-0.33573616	0.6804271	-0.6176332	-0.33589783	-0.26374698	-0.5861803	1.467801	0.064040385	-0.20184004	-0.079266265	-0.8576776	0.84683216	0.21755894	-0.14119229	-0.026771769	-2.0178795	0.32921195	-0.2048516	-0.07136512	-1.7873824	-0.12992445	-0.28475305	1.1610223	0.3736807	1.4511774	1.1200844	0.6411586	0.77448165	-1.2268739	-0.7209702	-0.1571692
TCGA-AC-A62V-01A	2.2072673	-0.49584794	0.5602209	-1.2380257	0.67133665	1.2483485	-0.15115064	0.2790095	-0.08835557	-0.31409124	0.1500371	-0.63136405	-0.6968627	1.2698734	0.7776835	-0.96388555	0.05761227	-1.513685	0.6774337	-0.71833956	0.19892877	-0.5613874	-0.70461106	0.34789973	0.7488885	1.0432522	-1.0957468	-0.7917951	-1.0324737	0.24159405	0.18497607	-0.744411	-0.98178136	1.0881153	0.3459189	-0.34779757	-1.4844202	-1.7154659	2.528046	0.2868151	-0.8249229	0.2783854	1.0340126	-0.79621184	-0.8772792	-2.5892556	-1.8901442	-1.1096442	0.32696658	1.3478237
TCGA-AO-A0J5-01A	0.15892881	-0.0950817	0.63577485	-0.83121735	0.54897475	0.45669734	-0.3903722	-0.15384834	0.84050435	-0.3245835	0.20694487	0.33109716	0.2507436	-1.117488	0.32082176	0.9434624	-1.6378856	-2.6958227	-0.29839066	-0.5131977	-0.32505882	0.66368604	0.3949625	-0.6220087	-0.702483	0.5582496	0.36623174	-0.7160836	0.26906455	1.6277733	0.6472798	0.66802526	-0.19476247	1.8617914	0.12161234	-1.1271161	1.0474035	-0.16966577	-0.5072376	0.5290035	0.1166836	-0.027567998	2.4486136	1.2790226	0.523002	0.14039046	0.49601015	0.5105555	0.56578207	-0.3043856
TCGA-BH-A0B1-01A	0.6807896	-0.23095469	-0.07034569	0.2621903	-0.6368341	1.6003246	0.40871355	1.406991	0.39209068	0.7796909	-0.6706089	-0.012828529	0.10370971	-0.02306819	-0.753778	0.2512468	-1.6668482	-1.5116628	0.68498063	-0.17585284	-0.70982254	0.9482168	-0.21084887	0.56742984	0.9144447	1.4263843	-0.15913913	-0.43501806	-0.4727188	0.75108683	-0.4007438	0.25987607	-0.11582412	0.39768252	-1.2064781	0.65298647	0.22764577	-0.91032577	-0.8104869	1.1590209	-0.27830452	-0.8859274	1.9094458	0.44775924	1.5933799	0.16857673	-1.3480691	-0.19785094	0.43862143	-0.8006329
TCGA-A2-A0YM-01A	-3.8841252	-1.6770464	-0.087658405	-0.83140874	0.334659	1.0371917	1.2931341	-0.7683805	0.6926521	1.1541638	-1.1105078	-0.7866673	-0.9756111	-1.6275154	-0.2117075	-0.6444381	-2.0997906	2.0392222	0.6841003	0.66973627	1.2906169	0.37594724	-1.0492159	0.0026664138	-2.699399	-1.469964	1.3544757	-1.1543931	0.6690471	1.4070617	-0.06852016	0.6754511	0.23095039	-1.3311591	-1.541195	-0.89950097	1.8872279	0.6947989	-0.103723645	0.68286276	0.15633404	0.23724082	-3.3982759	1.5200281	-1.1222842	-1.3875986	0.72722214	-0.49259374	-0.12511714	0.12180245
TCGA-AO-A03N-01B	0.12214656	-0.71561575	-0.19250047	-1.853701	-0.46868452	0.67148036	-0.30100405	0.13978347	0.5715183	-0.08219203	-1.465998	0.13577007	0.5362326	-0.514701	-0.051301777	-1.2227771	-3.7249446	-2.042608	1.1329497	0.38845593	-0.46276346	1.2190509	0.020814538	0.17822987	-0.7504743	2.7675009	1.3407533	-0.81577325	-2.0094635	0.34054005	2.0075321	-0.025067523	-1.9151335	-0.30413643	1.0148922	-0.36770263	1.1755989	0.18380217	0.9581954	1.0323839	-0.8964143	1.7125229	0.4966341	0.58416784	2.163627	2.580127	-3.628719	0.7938149	0.05630347	-0.3623084
TCGA-AO-A1KQ-01A	1.4182451	-0.34286654	0.15116112	-0.2388647	-0.7547183	0.14742102	-0.20297775	1.4789909	0.4152777	0.54285187	0.71475565	-0.01006487	0.43473464	1.0638782	0.12973852	0.24640301	-0.17851031	1.0180043	-1.0321201	-0.83276784	-0.12578917	-0.33604017	-0.16819757	-0.23682442	0.07882403	1.3996043	-0.3927813	-0.05021192	-0.9904709	0.25710046	0.07666236	0.9287366	0.8377573	-0.29100594	-0.4020588	0.06995222	-0.18089187	-0.042913675	-0.74039686	0.14391047	1.0586346	0.63935703	-0.094554886	-0.07742031	-0.23964474	-0.20222458	-0.75648123	-1.1498405	1.5446184	0.20881368
TCGA-E2-A1LI-01A	-0.61908776	0.3516112	-0.06865135	-0.19692722	-0.8365873	-0.06808515	0.63214594	-0.69599116	-0.94870967	0.49504918	0.36043024	-0.600174	0.77205557	0.14299542	-0.62343776	-0.23429337	0.04746934	0.91819257	0.22241268	-0.29666305	0.55727756	-0.5195874	0.62401104	0.37858212	-0.47377303	0.06768457	0.10592018	-0.38638878	-0.009417914	0.179303	0.66674113	-0.14744174	0.7762169	-0.7800702	-0.6864875	0.42420617	-0.19563156	0.08507329	-0.24421902	0.160303	-0.03656614	-0.040647805	-1.1336544	-0.03210078	-0.19138743	-0.69049513	0.11427823	-0.3798535	-0.13662398	0.16394752
TCGA-BH-A18L-11A	-2.3248484	-1.5577035	0.14957973	4.542333	0.15213591	0.20342904	-0.29952887	0.61622876	-0.02805376	-1.321064	-0.6874629	0.7650673	-0.50306267	-1.5620294	0.49393475	0.08159675	-0.61016023	-3.1568663	0.393906	2.2024863	-0.20779681	0.6333603	0.48359388	0.6140306	-2.3238707	-1.509606	-0.19986501	0.7800834	-1.0496885	0.13816905	0.3395384	-0.67007095	-0.4321618	3.377641	-2.11358	0.44168523	3.0929906	0.2774646	-0.17605388	0.055662632	-0.18409348	0.79331505	-0.65242386	1.4429318	1.0190207	0.7431047	1.0091006	0.08362341	-0.126184	-1.3161819
TCGA-B6-A0WV-01A	0.57509	-1.5972086	0.013316311	0.3618914	0.7775314	1.7347847	0.36629725	0.76481026	1.4623684	-0.85689926	0.28820956	-0.4547517	0.5578575	-0.9953457	-1.173856	1.5459107	0.9132556	1.3253322	1.3096237	-0.14983255	1.5681636	0.65120065	0.09653449	-0.99860257	1.6390445	0.25892168	-0.5776759	-0.8448053	-0.117922634	-1.9478468	0.10052913	-0.83513784	-0.2972701	-0.6188944	-0.25604576	-0.40236104	-0.9576834	0.17024171	-3.8000822	-0.34338906	-1.097429	-0.479173	-0.2324224	0.12675765	1.650263	-0.80616295	0.6213548	-0.2316825	-0.47732782	0.26079354
