	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
TCGA-D8-A146-01A	-0.092201665	0.37062544	-0.5296157	-0.45432812	0.29917553	0.98991996	-0.8130131	-2.2769914	-1.2471737	0.5052657	0.457901	0.36081916	-0.55343497	-0.75331175	3.2237465	0.48548847	-0.5333317	1.4981029	0.30835545	-1.5300294	-0.63729244	1.1450616	0.27490145	0.291858	0.31794065	0.9563147	1.3100157	0.9947934	0.1829615	0.6943556	-0.7449055	0.108101755	0.82680845	0.23800325	-0.10636084	0.5524119	0.21197166	-0.82510984	3.1017113	-0.6663087	-1.6020083	0.5057615	-0.51767373	1.1192988	-1.0030994	-0.6596547	-0.45068508	-0.9488245	0.52810615	0.552817
TCGA-AQ-A0Y5-01A	-0.2005009	0.7597662	0.16650698	0.7510443	-0.46939388	-0.41954994	-0.034700774	-1.2851918	-0.61775744	-0.60767406	1.1599398	1.2140965	-0.27021986	0.7175292	-0.1765513	-1.6807325	1.3535975	-1.4510008	0.87368196	-0.6552191	-1.7077398	0.7221435	-0.13851899	0.054436762	-2.1180518	1.0895497	-0.04793398	-1.3752407	-0.9641483	0.9467944	0.33455533	-0.81049705	-0.61142474	0.612283	1.7545097	2.056385	0.8556989	0.65954846	0.56346476	-0.53498995	1.0455849	0.87787384	-0.2029734	0.4878373	-0.5842509	1.9568629	-0.35990512	-0.6825403	-0.2220161	0.050759852
TCGA-C8-A274-01A	2.502728	0.46562406	-0.22018623	-0.28561008	-0.2419951	-0.2301163	-0.67806315	-3.2284338	1.0238403	-0.29177868	0.63303626	1.2733569	-0.46364015	1.0868404	-0.6151302	-0.5672348	0.04196188	0.8424078	0.9064258	-1.8302165	-0.3646626	2.234491	1.2127837	-2.0388868	1.4014515	-0.5888916	-0.003011534	-1.2646649	-1.3978025	-1.874646	0.38934827	-3.7456677	0.34298193	1.2812747	0.21311721	0.913124	1.2963693	-0.65927076	0.34189615	1.0618244	0.85783297	2.5280015	0.119374245	-1.2173984	-0.005022481	-0.5731933	0.75378203	-0.79414576	0.7929413	-1.7538794
TCGA-BH-A0BD-01A	-0.7887044	1.0469626	-0.24927507	1.3699921	-0.6004637	0.1725285	-0.00067421794	-1.7743349	0.88488483	-0.15440822	-1.2696207	1.1539481	-0.754907	0.48491573	0.85587186	-0.26503763	-0.83043975	0.6606831	-2.9190712	-1.6067139	-1.2700787	2.5784793	-1.2381891	1.0035156	-0.69003105	-1.3156633	0.22786658	1.665408	-0.79650104	-1.0833342	-0.6720943	0.18073794	1.2722818	0.5664547	0.089294426	-0.041661307	-0.8505334	-0.09353317	0.09806631	-0.7480037	1.1658409	0.021925388	-1.252769	0.11623867	0.92773944	-0.42693573	-2.722019	-1.4254189	-0.4233753	-1.0134836
TCGA-B6-A1KC-01B	-1.0483629	0.24394804	-0.4553177	-0.9997876	-1.1083713	0.34374163	-1.8821769	-0.69086146	0.039007604	-0.046263106	0.23066114	-0.335931	-0.75357056	0.5670738	-2.5475397	-1.3007414	-0.19066578	0.0058366805	0.062244624	-0.41481686	0.2540606	-0.4592465	0.032016933	-0.34276432	0.4981613	0.0040950775	1.5979744	1.5140421	-0.3453616	-0.78009343	2.5516286	1.531728	-0.9754166	0.25266922	0.69441605	1.4175955	-0.5283401	-0.80165017	2.5915241	0.9124607	0.5464028	1.3880748	-0.9327288	1.5932498	0.2411197	-0.20674138	0.97474813	-0.4920235	0.708948	-1.8318636
TCGA-AC-A62V-01A	0.60608107	-0.008122534	0.6131303	0.33171207	-1.9422089	-0.7513267	2.364627	0.015867785	0.17764421	1.3056417	-1.4316353	-0.38634598	-0.7677599	-0.480008	-1.6764388	0.578588	0.038012806	1.68038	-0.15618056	0.5171416	1.8815691	0.42476237	-1.4881833	1.4626043	0.84834677	0.06378553	-1.3763238	0.776635	1.0418576	-2.302899	0.16605452	0.65582526	0.6002613	-0.03814715	0.25180033	-1.7927909	-0.0050880574	-0.30218092	-1.8416548	0.85759187	0.1694565	0.35551393	0.46143612	-0.017771885	0.015226804	0.21164256	0.3713834	1.736834	0.5627591	-1.9844239
TCGA-AO-A0J5-01A	0.19857556	0.2778941	-0.8739911	0.7778983	-0.7280884	0.016358882	-0.46959665	-0.56456393	0.49290442	-0.2519189	-0.41473344	0.3069471	-0.081812054	-0.63813496	0.8108202	-0.68739927	-0.1294239	-0.24562892	-0.10583495	-1.1349019	-1.0664222	0.5385346	-0.76188046	0.9181855	-1.2006282	0.8712074	0.5794549	-0.06721378	-0.5717387	0.8845559	-0.3406347	0.539377	-1.0399857	0.33390915	-0.13081054	0.7423904	0.30257833	-0.031032778	0.9919751	-0.8531576	-0.0048124325	0.18379937	-1.0012822	1.1145936	0.39481854	1.134888	0.57929295	-0.67239106	-1.3645113	0.34944585
TCGA-BH-A0B1-01A	-0.5582894	1.2870312	0.6319264	-0.35060966	-0.8990307	0.4067245	-0.1390673	-0.5409322	-0.716891	0.48237026	-0.61616904	1.2637465	-1.6488943	-1.3485425	-1.4034665	-2.489939	0.35878813	-0.90060365	-0.2070801	-0.59521693	-0.53246176	1.0608143	-0.4853254	0.57704383	-2.3818588	0.31179422	0.35220706	-1.249336	0.2431276	0.45665562	0.4446627	-0.62475824	0.21678668	-0.28192317	0.44700024	2.3312807	0.75286245	-0.85514665	1.5625219	-0.23794681	-0.94736105	0.055439223	-0.5306182	0.12647264	0.34757614	0.5451508	-0.45012286	-0.98853755	-0.029302686	-0.022950426
TCGA-A2-A0YM-01A	0.9386848	-1.3710206	0.24883235	-0.53928596	-0.5401247	0.2084793	-1.6772761	-0.07200889	-0.2802766	-1.0160182	0.7943064	-0.09237248	0.838563	0.6204161	-0.39037004	1.3499398	-0.82210577	0.77691096	0.22660121	-0.08717009	-1.9745283	-0.9702623	-1.9130738	0.43021238	-1.1766375	0.089250885	-0.7762352	-0.07776123	-3.8641837	-1.2924675	0.039366584	-0.94518894	0.7802762	2.1469963	-0.93634963	-1.2358198	-0.47363535	-0.7157773	-3.3561602	-0.4327152	0.5070408	3.365146	-0.33592027	0.07339938	-0.7259329	0.44567984	-0.03371828	-0.47326207	0.882072	-1.376779
TCGA-AO-A03N-01B	1.5013494	0.0018225014	0.87733763	0.0133604035	1.5073637	-1.543434	1.2340283	-1.535603	-0.18429703	1.0068629	1.8033118	0.3080843	-0.16183686	-0.36387175	-1.0019486	-0.82653415	1.7059146	-0.24620324	-0.78192	0.2474081	-0.13042311	0.5967952	-0.56831235	0.32965285	0.38659957	-1.1558154	-1.3836517	0.028035067	-0.8317852	-0.35564458	0.48028865	0.95416445	2.3999853	0.3707466	1.0395192	0.5986755	1.154346	-0.34497905	-2.1228125	0.9703494	0.8106952	1.2694781	0.287328	-0.5316597	-0.24314933	-0.33582062	0.13341433	1.4773482	0.32588264	-0.49660993
TCGA-AO-A1KQ-01A	0.17223798	0.07902229	0.075085856	-1.5904566	-1.1424497	0.6955852	0.9276474	1.4270587	0.5046753	0.8942663	1.5336273	0.37777227	0.6034399	-1.056563	-0.24247015	0.93436694	-0.95323175	0.20729892	-0.6292866	-0.32708955	0.96412987	0.6437028	0.012039274	0.1550473	0.7501506	-0.31918415	-0.8525232	-0.399429	0.658763	-1.868698	0.97953814	0.097556844	-0.20626992	0.8583945	-0.20259762	-1.0186636	-0.5508155	-0.06451992	0.12288981	-0.09440398	-1.0807728	-0.5045832	0.94416285	-1.0491809	0.3158865	1.357259	0.09161943	0.48912007	-1.7727501	-1.2852048
TCGA-E2-A1LI-01A	0.37475508	-0.92274666	-0.98110235	-1.1997787	0.33734116	0.08777717	-0.7663	1.0657059	1.5541229	-0.795292	0.8062768	-0.063858755	-0.103538804	-0.7544682	-0.3339564	1.4084309	-1.0476506	0.5301148	0.050342593	0.003152322	-0.30139238	-0.99758285	0.1530775	0.8181256	-0.13826984	-0.6369218	-0.06864008	-0.40113765	-2.06133	-1.43716	0.14120007	-0.29724836	1.0874252	1.4877418	-0.502995	-1.0602449	0.067387864	-0.37019232	-1.867902	-0.5902668	1.0248725	1.8698435	0.51378465	0.106276885	0.2929819	-0.21547526	-0.5234875	0.22357365	-1.2706643	-1.0607439
TCGA-BH-A18L-11A	-0.78950953	-1.8508037	0.10748491	-0.2519453	0.032904554	0.009439915	-1.2144303	0.31525326	-0.354931	0.6146226	-0.5986352	-0.62711686	1.2721524	-0.84762836	3.1394515	1.5026472	0.92943597	-0.18421368	-0.30805528	0.6200851	0.8448571	-2.1018138	0.6530671	-0.28113315	-0.16585423	0.05607745	1.3510556	-1.6082628	0.42893887	2.3253064	-0.26678714	0.42749184	-0.25181806	-1.0361562	1.285538	0.4095257	1.6464064	-0.42092425	1.6697345	-0.77936697	-2.1231577	0.8566406	-1.3828121	0.35171473	1.2230676	-1.2077147	-0.7962134	1.217213	-0.2944833	1.3058643
