	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
1	TCGA-3C-AAAU-01A	0.57490885	-1.1223258	0.12418705	1.2720267	-0.20892787	-0.107349515	0.8569145	0.27452323	0.79630256	0.6264981	0.29923838	-0.34953848	0.589761	0.02954372	-0.5473847	1.6227521	0.98495793	2.1501284	0.67917883	0.014691412	0.462525	0.42731413	0.12757269	1.9462556	-1.2256658	-0.7372118	-1.2379179	-0.15232679	0.79083174	0.50041205	0.4187602	0.46794415	-1.0963179	1.1042367	-0.46885687	-0.6856867	1.1259623	-0.96524155	-2.0072255	1.4927344	0.42499626	-1.0827149	-0.5348548	0.016814291	-2.3420053	-1.6228113	2.2938328	-1.392564	-0.5843472	-0.47952616	1
2	TCGA-3C-AALI-01A	2.1631954	-0.86500096	-1.2278728	-0.4467946	0.009351522	1.2928463	-0.41088396	0.15128112	0.84309995	0.34936902	-1.5045276	0.9980635	-0.022203837	1.0648476	-0.37236804	1.1264518	-0.7234812	1.1941717	-0.57861346	0.06330779	0.26137006	-0.21269828	0.040893026	1.2514346	-0.81357944	-1.0801034	-1.6244581	0.9236903	0.054468974	1.806091	0.5421921	0.30065936	-0.7018948	-0.46612865	0.13877217	-0.1499805	0.6193359	-1.2162756	0.21150039	1.882822	1.048846	-0.06110581	-0.85931885	0.113627754	-3.6689503	-1.1974027	0.5843108	-2.0643325	-0.76740485	0.02610913	0
3	TCGA-3C-AALJ-01A	1.1918521	-0.58875346	-0.2094494	-0.043551426	0.054231502	0.25525787	-0.33566752	-0.2925013	0.6444885	-0.42183864	0.06815939	0.4307306	0.32936543	0.6894046	-0.509049	0.4634488	-0.1276438	-0.28252622	0.47749817	0.15931895	-0.45726717	-0.043388195	-0.15067804	0.12222805	-0.15976822	-0.2513377	-0.4672206	0.78334296	-0.097671166	-0.25961128	-0.048292145	-0.06856778	-0.9379573	-0.3839543	-0.10497256	1.134725	0.83360124	-0.255396	-0.070222214	0.5883736	0.35435802	-0.011426412	-0.077474445	0.29979616	-1.4936814	-0.50161266	0.57417285	-0.19997656	-1.2907845	-0.48945212	0
4	TCGA-3C-AALK-01A	-0.6740507	-0.6294289	1.0774368	1.4088658	0.7695719	0.9656969	1.1446307	-0.24701408	-0.37446648	0.36305678	-0.51973194	0.023915887	-0.88958967	0.8619818	0.20247987	0.6607091	0.5021299	-2.8945944	-1.2485023	-1.1737256	-0.08670555	0.030306175	0.09785801	-0.45451373	-1.5126271	-1.9571878	-0.13228369	0.9934226	0.34784216	0.18538591	-0.7231033	-0.84543467	0.3626917	2.7898605	1.7098066	0.7665726	2.0749192	0.04754988	-0.59627914	-0.044751704	-1.1094627	-0.073835164	0.9293196	1.6146877	-1.8069701	-1.0025383	1.5556175	0.08078335	0.11777453	-0.10126001	0
5	TCGA-4H-AAAK-01A	-1.1554167	-0.90772104	0.6634167	1.2842954	0.060716897	1.0705541	0.58580464	1.7582405	0.25746676	2.9035506	0.21455038	-0.95252526	-0.19035117	-0.31066838	0.47041017	0.41121456	1.4931426	-2.3328185	0.54034245	-0.114121094	-0.13841315	0.43686873	-0.37689924	-0.68719053	-0.6433346	-2.0078454	-0.20915055	0.05050724	0.83562696	0.9358507	-0.51879066	-0.5983105	0.041250616	3.4653656	1.9940044	-0.9398997	-0.43447122	0.09972083	0.06097233	-0.7563448	-0.29547906	0.57921356	0.2808771	-0.401093	-1.1536267	-1.4383531	2.077575	0.44991347	0.17099224	0.25099945	0
8	TCGA-5T-A9QA-01A	0.5564542	-0.11511779	0.27647102	2.5359974	-0.87430716	0.009159088	1.0430324	-0.9000063	1.1409625	1.2050521	0.23146415	-1.3640575	-0.8909788	0.49522963	-0.14029053	0.017503902	3.4974058	-0.25313124	1.1578796	-0.33774605	-0.9947027	0.76413065	-0.42750525	3.4691842	-2.0792744	-0.46343896	-1.7671535	1.010237	-0.5208661	-0.5163957	0.3624644	-0.12639338	-0.8368403	1.2960439	1.4664505	-0.22905418	0.9363084	-0.9003488	-2.6151745	1.468966	0.3627412	0.5823475	-0.14696002	-1.188571	-2.2650728	-2.7105944	2.5917819	-1.763891	-1.5219271	0.6248498	0
13	TCGA-A1-A0SG-01A	-2.0350287	-1.1989617	-0.76050293	1.0857553	0.33429146	1.4332193	0.39943486	0.81191635	-0.35199794	1.7638226	-0.7884511	-0.9522819	0.20141351	-2.5706358	0.30049756	-0.096649915	2.390764	-4.295991	-0.8413447	-0.7762773	-0.9825108	0.027953386	-0.8725927	1.4032168	-2.2035031	-1.0700432	0.1646294	-0.6095131	0.23627466	-0.06334582	-0.5594225	-0.3956479	-0.5001754	3.1475766	2.4155805	-0.7807578	0.932608	0.5827074	-1.3331394	-0.46082607	0.9887774	0.05502659	1.2116579	-0.12086177	0.4774654	-2.311277	3.5524302	0.35960293	-0.6133763	-0.43325245	0
14	TCGA-A1-A0SH-01A	-0.67369395	0.097130895	-0.6445473	-1.2847921	-0.3466327	1.1341405	-0.48777974	0.10347062	0.72013855	-2.1349556	-1.8072686	0.18241829	0.12900051	-2.393892	0.5464988	-0.58809984	-2.1821897	-3.2364132	-0.990865	0.43191025	-0.9574945	-0.33878848	0.3924493	1.663056	-0.52378196	1.4139189	0.6453593	-0.718915	-0.34633172	1.1815178	-0.69914544	-0.68223834	0.41219544	1.6741668	-0.27405313	0.899263	1.5671005	-0.07800071	0.42477596	0.11350995	0.6665443	-0.815556	2.0053933	1.4103011	2.7635405	1.0851401	-0.72518444	0.37122464	0.28705347	-2.2338696	0
20	TCGA-A1-A0SO-01A	-0.23977216	-1.2376602	-0.47340685	-1.2654719	-0.64073676	-0.40819192	-0.06315049	-0.2232758	0.7872366	-0.23943593	0.97247785	-0.17664416	0.074849196	-1.5768367	0.3350206	-0.132717	0.086969756	0.7682664	1.7338886	0.4409765	0.73964864	0.92247176	-1.2105209	0.31124622	-0.3358463	-0.43156308	0.40966237	-0.33414003	0.050627165	-0.5821686	0.86334634	0.36272117	-0.21077695	-2.5674865	-1.1820791	-0.7175353	-0.57911754	-0.516389	-0.41085035	1.6608636	0.1800531	-0.18115176	-2.1912346	0.4113931	-0.510304	-1.1470617	0.94812566	-0.5179151	0.36191028	0.27520218	0
21	TCGA-A1-A0SP-01A	-3.1400762	-0.429295	-1.6558752	-0.011736274	0.5262287	0.33601886	-0.88533366	-0.6534879	-1.097554	0.55654866	-1.7393959	-2.0982332	-0.08190369	0.06456514	0.4181335	-2.71585	0.25053975	0.38405222	1.0095916	0.414142	0.43392432	0.5703725	0.15156832	0.82751536	-0.74872965	0.23153299	0.48648164	-1.8301907	-1.0223234	1.1861942	-0.8263	0.09516993	-0.5740061	-0.19190252	-0.51282	0.23103207	-0.2782941	0.5069908	2.1125934	1.2424664	0.13752425	0.0004580915	-2.3376017	-0.08662778	-0.11922484	-0.9482902	-1.6528437	0.253674	-0.0720377	0.026909543	0
