	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
1	TCGA-3C-AAAU-01A	0.14225022	-2.2848122	0.21175869	1.492502	0.28504613	0.45095095	-1.2849975	0.5194507	-0.103892624	0.07446122	0.2121732	0.060177833	0.5145676	0.14948353	0.28556976	2.035665	-2.0346112	0.90054876	1.7779974	-0.55793643	2.5178125	-0.5078597	-0.48887864	-0.52142376	2.658651	-0.75888187	1.1939734	1.3361706	0.59797615	-2.2375104	2.3015814	-0.24711637	-0.7830104	0.92288756	0.11894998	-0.09643911	-0.47855902	-1.3810539	2.8417423	-0.8346473	0.24702573	1.0492923	0.19180074	0.80024767	0.14033227	-2.0472608	2.2159736	0.6273004	0.12573272	-0.9749199	1
2	TCGA-3C-AALI-01A	0.06590608	-1.5127584	-0.43775663	-0.08242053	0.5588148	0.2524262	1.3588138	0.84470403	-0.65081435	0.39431527	0.33482265	-0.6252747	-0.3012613	-0.50170946	-0.24457783	2.3444002	-1.7404808	2.8963063	0.3536298	-0.51781195	1.6295228	-0.6981883	-0.73359865	-0.45317844	1.2389901	0.6842372	0.081643075	0.5982526	0.4105703	-3.1590276	0.14064102	-0.5798448	-0.0013786852	0.9830539	-0.8460331	-2.9777207	0.04441993	-0.7830971	-0.3417919	-0.75371546	1.2085541	2.103915	-0.6898313	-0.2224859	0.3348105	-0.28845593	1.0219469	0.7148161	-0.70984364	-1.8909361	0
3	TCGA-3C-AALJ-01A	-0.65546775	-0.6528882	0.70968664	-0.29219034	-0.34685987	0.6353702	0.4481984	1.399166	-0.5184729	-0.347983	-0.21670808	-0.6784681	0.09580931	0.03596741	0.37030613	1.5879227	-1.5949796	1.6362145	1.07633	-0.07436524	1.0212554	-0.7173092	0.7005505	0.20101628	0.8499641	-0.110591084	0.2821253	-1.1319883	0.72076	-1.9076843	0.5807805	-0.22068596	0.23371986	0.59824026	1.3079088	-1.609281	0.16420326	-1.2073525	1.0461054	0.6256501	-0.9864299	0.56758577	0.21426466	-0.94872653	-1.1749088	-1.6338185	1.6117527	0.35994723	-0.2143802	-0.53155404	0
4	TCGA-3C-AALK-01A	0.5192272	-0.49320364	-1.097043	0.29041266	-0.24056588	-0.41087794	-0.34227124	-0.013628349	-0.518369	0.10930888	1.4286594	0.71745485	-0.09469727	1.2028128	0.36605167	0.68562293	-0.27495104	0.7675486	0.5086721	-0.1812054	0.16961908	0.027229872	0.14777055	0.016422585	0.87411815	0.36122584	-0.05472227	0.052914876	0.35008925	-0.9011853	-0.05796571	0.45787355	-0.19658357	-0.017513901	0.19532815	-0.042084415	-0.18307176	1.0485733	0.55078816	-1.2475785	1.0812339	-0.0145807825	0.7203211	0.7193294	-0.8445036	-0.5278423	0.3594423	0.43362135	-0.9455499	0.116525084	0
5	TCGA-4H-AAAK-01A	0.061773997	-0.7782139	0.06196302	0.5589479	0.3814724	0.6799021	-0.59834	-0.5172121	0.59425724	-0.2077909	-0.29901206	-0.068234995	-0.1355543	-1.2420629	1.0685709	0.7048832	-0.9938308	1.2138765	-0.66631377	-0.4956745	0.1243498	0.46930692	0.055408448	0.37083238	1.2308109	-0.5522853	0.5202718	0.5678504	0.5320115	-1.0897082	-0.09180138	-1.0967579	0.78678834	0.016521133	-0.036486782	-0.070763975	0.9797628	1.3798685	1.088458	-0.23451164	-0.38687634	0.16116576	-0.17237543	-0.6245296	-1.1015639	-0.8354946	0.026178688	0.29588896	-0.22959483	0.3613693	0
8	TCGA-5T-A9QA-01A	1.0442863	0.60888916	-0.5042148	-1.180994	-1.0289032	-0.7522616	0.13528638	-0.55762684	-0.94227165	-0.18739279	0.9401448	0.7556399	0.07112984	-0.98945165	-3.6077564	-0.40372545	-0.50924265	-0.18400328	-0.85850054	0.50494766	2.7535312	-0.080659084	0.14383951	0.6244711	1.5510207	-0.08626943	0.82959193	0.44213173	0.25610986	-1.8884329	2.410153	-0.09920718	-1.1314484	-0.32311872	-0.6744466	0.51432323	0.4556656	0.86025983	-1.0042053	0.91416466	-0.005030308	-0.24873227	-0.9722964	-0.35923505	-1.8021264	-0.20015424	0.3057946	2.2231536	0.038932458	-1.922383	0
13	TCGA-A1-A0SG-01A	-0.1922294	0.43061244	-0.6533576	-0.23082627	-0.16701639	-0.5290822	0.36843926	-1.3812039	0.5323555	0.9600475	-0.014265701	-0.45065024	0.30752572	1.0522401	-0.41721353	-0.2995792	-0.22777967	1.1768842	-0.5204638	-0.07931108	0.8858135	1.1356592	-0.038212676	-0.29859194	0.80861753	0.02301228	0.11141917	-1.1878563	1.5911775	-0.9181071	0.31486568	2.062429	0.815125	-1.1168231	0.19341013	0.30764592	0.8861799	-1.0299356	1.1775851	-0.71223855	0.14155298	-0.4420695	-0.430944	0.63534665	0.111256324	1.369409	-0.22486049	0.58337265	0.39345214	-0.12114011	0
14	TCGA-A1-A0SH-01A	-0.64131737	0.13545528	0.6643914	-0.23060447	0.2363042	-0.630246	0.3069748	-1.452427	-1.9239666	0.061079368	1.0675412	-0.12980494	-0.6901339	0.1934714	0.9567656	-0.87936556	1.4929194	-0.9444859	0.9405568	-1.2125826	-1.6908497	0.32610685	-0.22017941	2.7435017	-1.0644765	-0.8695811	-0.29477873	1.6093189	-1.8148955	1.3775032	-0.27056864	-0.4305569	-0.48169726	0.96294796	-0.549885	1.3481917	0.08271389	0.19726384	-0.33704734	0.3801099	-0.09643288	1.6088247	-0.29253048	2.4870906	-1.4796522	-0.034024023	0.41330978	-0.524946	-0.3075269	0.4363144	0
20	TCGA-A1-A0SO-01A	0.7161949	-0.9668312	0.9629953	-0.6487639	-0.10278237	0.04000274	-1.725224	0.4609369	0.6087459	1.139261	0.28276983	-1.03272	-0.42793888	-0.6090372	-1.2253987	0.73924357	-0.5999529	-1.025635	0.09784782	-0.060169175	-0.32847148	-0.3934251	1.1395354	-0.15287569	0.9310609	-1.3659025	-0.26594555	-0.32440764	-2.5364172	-1.2834787	1.8794137	0.47603703	0.7706212	1.7835639	-0.8210189	0.43057594	0.14274135	-0.6041336	-1.1873533	-0.71032864	-0.24244931	1.8351759	1.098321	0.31080455	-0.45038736	-0.6793594	-0.05408873	0.43956608	-1.2157371	-1.3743519	0
21	TCGA-A1-A0SP-01A	0.60948384	-1.0577528	-1.3496902	-1.5227238	0.6957622	-0.23901065	-0.9349012	-0.53227633	0.5388212	0.72233313	-0.52682245	-0.03132327	0.66147023	0.53723705	-1.1243562	0.45164654	-0.01714709	0.17079496	1.3939695	0.0037831813	-1.0857124	-0.4626078	-0.41767055	0.73479486	-1.0260197	0.21633375	-0.9483584	-0.1641105	-2.52551	-1.409691	-0.17003039	-0.8139419	0.010117754	1.4007484	0.76921487	-0.13251123	0.12171704	-0.78606546	-3.3337843	1.0428199	0.17393568	2.571824	-0.8185345	-0.58814484	1.204704	0.4216345	0.06337786	0.19665201	0.5863287	-0.76618814	0
23	TCGA-A2-A04N-01A	-0.07601726	-0.18082064	0.48082703	-1.6251537	0.29839087	0.49858636	-0.07829332	-0.9643666	-0.6641694	1.3671709	1.858026	0.664731	0.74333	0.07500522	0.3060129	0.36550418	-0.7192389	1.3987479	1.475913	-0.28666818	0.62638295	0.8644073	1.4164523	0.5124885	0.88978416	-0.3390003	0.78723866	0.29641807	1.2695355	-1.2226684	-0.05822362	0.7772468	0.80145264	-0.42038476	0.18002227	0.13756755	1.7442137	2.174935	1.5279827	-0.70209944	-0.55760777	-0.25595525	-0.6027184	0.20486909	1.625298	-0.69509387	1.4411848	0.27970353	-1.0296817	0.19941403	0
24	TCGA-A2-A04P-01A	-0.24573857	-0.27113512	0.75025475	-1.1189831	0.1694019	-0.3432728	-0.67824185	0.7256202	-0.39779997	0.56528413	1.6112769	0.9302791	-0.008550435	0.07713927	-1.146496	0.13976645	-0.070035525	-0.5577167	0.7087653	0.41212082	0.37804756	-1.3062116	0.75844353	1.1122991	0.031828575	-0.018875971	0.105111115	-0.43346533	-0.49646577	-0.62056696	0.5960902	-0.4815119	-0.238386	-0.007323079	0.6198985	0.44995546	0.6980931	1.0346215	-0.94614667	0.2614063	-0.44073683	0.68185025	0.11687679	-0.80186635	0.27540952	0.8467719	0.24199131	1.024867	-0.513229	-0.22002703	1
25	TCGA-A2-A04Q-01A	0.6336827	0.13804625	1.3437668	-0.6198655	0.6034921	0.49876314	0.23953222	1.1518494	0.65669054	-0.376694	-0.06704347	0.027715065	0.27043867	-0.8350079	1.109787	0.93252844	-0.4586957	0.0915881	-1.0426289	-0.1649771	-0.8550492	-0.5870773	0.037232578	-0.24866584	-1.1182979	-0.59863317	-0.28051862	-0.24469969	-0.55014193	-0.53595996	-0.20369771	-1.0477964	-0.32864392	0.8568971	2.1814742	-1.0142914	-0.4169194	1.387003	-0.42153206	-0.39771077	-0.78820455	-0.119889855	-0.48772132	0.43828493	-1.864331	-0.46207744	-0.57369196	-0.12931731	0.026974428	0.026471559	0
