	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
TCGA-D8-A146-01A	-1.5577136	1.0166893	-0.38056096	1.8197296	-0.17491397	-0.30236942	1.7587262	-1.3515841	0.22333148	0.2479185	1.0585423	-1.1048537	-1.622563	0.07012324	-0.52923024	0.023468792	0.33555824	-0.046311766	-1.1729426	-1.3029798	0.4066121	4.3808203	0.31855208	1.5415709	-1.4885819	0.64138174	-0.27198792	0.47847992	0.15418947	0.71261036	0.2713915	-0.589011	0.37904802	0.60581756	0.47369486	-0.8891014	0.31508788	-1.2195549	0.80793726	-0.5755367	-0.04554686	-0.48886174	0.33420694	-0.57539135	1.6111794	-0.28328115	-0.8982253	1.8752754	-1.1154459	-0.31743336
TCGA-AQ-A0Y5-01A	-0.2694443	0.10372289	0.34880537	0.4893942	1.4231775	-0.21771798	0.2121129	0.68712527	0.18975392	0.50856113	4.380334	0.10853639	0.52065814	-0.048520565	0.07684952	-0.9982959	-0.6274994	-1.1057285	-0.46876603	0.09799552	-0.93270993	1.6485682	-1.7715334	0.35811618	0.43765676	0.8083576	0.9091296	0.5924373	-1.6257292	0.2392774	0.43511322	0.2914098	-0.29337016	0.79513466	0.25237834	0.19124164	-0.61136127	-0.5792779	0.6589404	-1.464467	0.32836285	-0.06341166	-0.25114232	0.25695604	-2.5851648	0.5710981	-0.26905277	-0.8344177	-0.14933124	0.35738173
TCGA-C8-A274-01A	-0.9476478	-0.8543932	-0.029133981	0.5432438	0.5035682	-1.257854	0.89844024	1.4374301	-0.57903254	0.3932013	2.2831388	0.71777916	-1.4503822	0.21433413	0.29690954	-0.08025952	-0.1876406	-0.027578473	1.9022593	-0.4024507	1.0366783	1.38255	0.5927484	2.4637413	-0.7914456	-0.7262273	0.09606668	-0.9317926	-0.39004564	-0.6103597	-0.35481703	-1.0317628	-0.12318134	-0.35192266	1.6375703	0.44070327	0.8726751	-1.3498417	0.57295054	1.562443	-0.55063474	-0.049027376	-2.3277617	0.1763689	0.38663685	0.16740428	-1.0675685	0.4441246	1.6620828	1.832006
TCGA-BH-A0BD-01A	-0.8277579	0.9139974	0.9652482	-1.7877128	0.4957739	-0.35354817	1.2623544	-1.5314966	0.88494027	1.2608123	-0.2849273	0.049792804	0.23928386	1.3263149	-0.13530833	-0.6788767	-0.50817645	0.82544357	-0.09309782	-0.40543056	0.18470043	-0.4840573	0.12370393	0.9970287	0.29653555	-0.6912922	-0.09611611	0.40800506	0.6971661	0.26477736	-0.22399312	-0.13614564	-0.9186358	1.3439677	-0.49850368	-0.4496555	1.6503164	-0.6389078	-0.4480108	-1.3752729	0.22112514	-0.2251642	0.40410903	0.6545909	-0.07936835	-0.31234047	-1.2282743	-0.069535814	-0.21984033	1.1718606
TCGA-B6-A1KC-01B	1.288556	-0.6790493	-0.92310375	-0.052750833	0.85308254	-1.0640061	-1.1145508	1.704024	0.052990913	-0.36077642	0.5792339	-1.1977324	-0.38534594	-0.26297545	-0.7091453	-0.7543849	0.5532897	0.9849329	0.1813618	-1.3702744	-0.46181828	1.6838129	0.16112942	0.35775098	0.44195285	-0.8325627	0.7588478	0.17887296	-1.0276959	1.2303728	-0.6511696	0.15557273	-0.3633572	-0.051974684	-0.29030925	0.26176822	-1.0723699	1.186818	-0.9690578	-0.32575566	0.0057729483	-1.0800031	-0.6489605	-0.29578564	-0.70950955	0.6654258	3.7646737	0.39215732	-0.8123938	-0.17719841
TCGA-AC-A62V-01A	0.25283042	-0.5921128	-0.5482762	0.6654695	-0.22877173	0.43841097	-1.2434486	1.7182838	-1.7828391	0.25804847	-0.47531864	-1.7967939	1.0488238	1.9202888	-0.8605284	1.3923882	0.49037045	0.043826967	-0.5246331	0.11383174	0.1019504	-3.5748513	0.020788446	-0.52533686	0.026320964	-0.016449958	1.3285677	-0.08948246	-1.4110309	0.8614457	0.23334537	0.5110552	0.07064949	1.2354668	-0.8209346	0.84270203	-0.6141013	-0.8678765	-0.4813706	-0.76216835	-1.1533191	-0.50134504	2.748974	0.42290115	2.1050546	-0.13511258	-0.64805025	-1.1599176	-0.30869716	-0.030797571
TCGA-AO-A0J5-01A	0.012450904	-0.15738341	-0.3362853	0.37510887	1.4632732	0.42927715	0.052255422	-1.2674819	0.19466844	-0.7169441	0.77987874	-0.4444707	-0.1561019	0.95789915	-0.032562852	1.6207671	-0.08407289	-1.7310319	-0.22610116	-0.31499594	-0.8770688	2.085033	-1.8571346	-0.8478423	0.28316787	0.428485	0.031415224	0.59495723	0.21119608	0.6509669	-0.3058545	0.2132905	0.54094374	-0.5859807	-0.55581206	-0.8263841	-0.36064798	0.030303013	-1.8528084	-1.8564305	-0.24512404	-0.005166948	1.935218	-0.47221157	-2.1917624	-0.30942494	0.5018607	0.4688487	-0.3102158	0.1034134
TCGA-BH-A0B1-01A	0.6879432	0.15597618	0.21915968	-0.8037466	1.7108611	-0.27929223	0.22607255	-0.26719475	0.21636128	0.5788958	0.27620244	-0.6727551	-0.5879645	1.4322238	-0.25993118	-0.68478703	0.2851603	-0.58043957	0.69463	0.062009558	-0.51729804	1.8845694	-0.37750095	0.41153955	0.26218927	0.69081914	0.53845346	0.83723944	0.1669184	0.6154028	0.26159984	0.10650553	0.4188974	-0.09983522	0.34126085	-0.6903399	-1.8014382	0.027098626	-1.5373621	-2.059465	0.29891616	-0.3953327	-0.22509825	-0.30788052	-2.5234933	-0.42579222	1.2517107	-0.5624572	-0.106750056	0.7000938
TCGA-A2-A0YM-01A	-0.39634776	-1.1517816	0.35909635	-0.08680546	0.7333911	-0.53432107	1.731065	0.8176348	-1.0556756	-1.0322468	0.42878336	0.7691553	-0.9846547	0.31005725	-0.4943311	-0.4696132	-1.4936395	-1.1196331	0.65867734	-0.68524045	-0.9342628	-1.664014	-1.3709117	-0.64223313	1.3131965	1.3518234	0.6009499	0.62514204	0.5727554	1.7105768	0.124846995	-1.0232927	-0.86800075	-0.16444468	-3.549007	0.8683919	4.9607086	-0.003196478	-1.8205484	-2.7994623	-0.7482451	-0.48691875	-0.71934766	-0.36594683	-0.3149256	-1.4443402	1.2648393	3.079754	1.797436	0.5585393
TCGA-AO-A03N-01B	0.32028955	0.16924836	-0.4804005	0.5365852	-0.77215976	0.10515946	-1.385773	1.9906905	0.4482664	-0.38971716	2.4198687	-1.3275932	0.070401765	0.7660174	-0.23010175	-0.23377772	-0.17801285	-0.46475062	0.24986234	-0.28220582	0.32821098	0.073933996	-0.66219276	0.71873176	-0.014246881	-0.10364458	0.35494682	0.7497853	0.18204257	-0.28908473	0.31946918	0.41113645	-0.3796347	0.3973226	1.0612347	-0.19213977	-2.9446418	1.2163805	-0.6065123	-1.3800745	0.2599918	0.26760438	1.2385885	0.032643944	-0.62161255	0.43378037	0.28858477	-1.2487494	-1.0274013	0.29961228
TCGA-AO-A1KQ-01A	-1.3704045	-0.24978796	0.7948732	2.0653434	-1.0966105	0.38689575	-0.6325743	1.2225525	0.73181546	-1.1867069	0.933264	-0.22971836	-0.07992953	-0.43577632	-0.09223227	1.0213223	0.6471791	-0.42756578	0.75409496	-0.14732511	1.270009	-3.342893	0.86349094	0.9299573	0.5323724	-0.30656052	0.9547417	0.9249381	-0.9835966	-0.98056334	0.16091229	-0.7142263	0.4148063	0.2873705	1.4550949	-0.3648867	1.0951251	0.33155453	1.4273392	-0.37689123	0.5727097	-0.97849536	-0.094022356	0.91349506	0.26340637	0.93242645	-1.732693	-0.7722639	1.2513996	0.3432436
TCGA-E2-A1LI-01A	-0.9960274	-0.6204752	0.5071179	-1.2608962	-0.8578127	-0.694401	0.2129994	1.1457404	-0.9913322	-0.22005415	0.069638714	1.1381414	1.0637543	-0.5818684	0.12266399	-1.5488403	-0.6454652	0.2593078	-0.7637749	-1.2385112	-0.07480112	-0.5647433	-0.61698186	-0.24219653	1.0059509	0.77928704	-0.010278642	0.54945356	-0.5878716	2.7171407	0.9126797	-0.87377983	-0.2596108	0.52850056	-2.1084762	0.36083287	4.1076403	-0.51922953	-1.3691025	-1.7046955	0.08120209	-0.42906252	-0.116906755	0.09675756	0.07073455	0.33693016	2.468383	3.4039297	0.275195	0.33011794
TCGA-BH-A18L-11A	1.8507481	-1.3011265	-0.14949024	-1.1015648	-3.3780947	2.1821609	5.5613413	-1.5902387	-2.8918495	-1.5390105	0.8839818	1.1084062	-1.1221519	-1.3592757	-1.0223534	-0.90966785	-1.9673052	-1.7590115	1.3347203	0.9028734	1.3757391	3.635619	-1.9909216	-2.6021504	-2.252256	-0.9569281	-1.7610351	4.871784	0.020408861	1.0358586	0.13140592	-1.325145	-0.8467209	-0.83733976	-0.62805796	0.83575237	0.51608515	1.4684366	-6.1409793	-1.9960645	0.468985	0.63447267	0.89655346	-3.6032112	5.7196264	-2.0280304	-1.0817449	-1.1137571	0.6087009	0.8755724
TCGA-B6-A0WV-01A	-0.35378483	-0.40868616	0.10705702	-0.004884273	1.15109	-0.862562	1.6427746	0.81310487	1.1479771	-1.3762478	-2.135102	0.4884032	-0.18301806	0.29762778	-0.250592	-0.081760734	1.2311561	0.15350433	1.677782	-0.46305785	-1.5714762	0.105258	1.0619179	1.3913438	0.3159209	-1.2321807	0.3612214	0.54493773	-0.5904956	0.27705175	-0.083188824	0.2058317	0.9064137	-0.3395254	0.25599104	0.17167534	1.4539863	0.55868924	-1.1648182	0.945524	-0.3699588	-0.18991268	-2.603552	-0.8051486	-0.54739094	0.9394074	0.42538038	0.7909221	0.35979176	0.05543053
TCGA-E2-A1LE-01A	-0.7094072	1.5447384	0.3857473	-2.1565034	-1.9676341	0.7678215	0.75492674	0.020658582	-0.11515185	-0.4913895	0.18441999	1.2286545	0.049209297	0.4914826	0.15377262	0.4067712	0.41737357	-0.43558985	-0.63245827	-0.48606294	0.9011235	-0.8831082	-0.63944876	0.62083656	0.14733788	0.26375905	-1.5920897	0.22325653	1.1271499	-0.20265308	0.114897355	0.5941431	-0.56204355	-0.9134294	-1.2102652	0.088940345	1.4460032	0.08508694	-1.47935	-1.9643689	0.66376936	0.4637568	1.881171	0.26903838	0.39440265	1.3877391	-1.8606541	0.5626109	0.17851642	1.0742533
TCGA-A2-A0CO-01A	-1.1277934	-0.1720941	-1.0557026	0.04839571	-1.280765	-0.8135812	0.040600855	-1.3581507	-2.5026243	0.6743978	-1.2687422	-1.0850052	0.5854305	-0.45451903	-0.150801	-0.13589334	0.7360555	-0.80706877	-1.0561879	0.60394585	-0.09334722	2.4761066	0.18493882	-1.2291939	-0.049237967	-0.52644897	-0.25966904	0.22509868	-1.7890186	1.9215313	-0.59884655	-1.961821	-0.38481694	-1.2445364	-0.6104732	-0.26324195	0.72425103	0.2627008	-1.8873007	-1.8701704	-1.0315022	0.4267688	2.0474036	-2.1414127	3.3157933	0.35729343	-0.65297544	-0.06859028	-1.9253383	0.1872791
TCGA-AN-A0AK-01A	-0.44809085	-0.7916083	-0.081721894	1.7430115	1.3203568	0.38644052	0.23076503	1.6655208	-0.57659125	0.2227358	0.24899226	-0.8270972	0.16318855	1.593814	-1.2300496	0.34095988	-0.80213404	0.25256947	0.17578918	-0.033026803	0.90760314	-4.088639	0.23888104	-0.13729826	-1.244313	0.009796768	0.53034306	-0.3234035	-1.4352419	-0.9850682	-0.57314825	0.20620994	-0.41802564	-0.25617066	0.95468956	0.9783107	-1.1911339	-1.6060202	-0.55027956	-0.7906121	-0.85059	-0.38929325	0.41772455	0.8201326	-1.8981751	0.40983403	-1.7338339	-2.0334666	-0.5640771	0.8802929
TCGA-BH-A28Q-01A	-1.0433862	0.53204554	0.023083806	-0.71729577	1.3400934	-0.44664612	2.2907264	-1.5071812	-0.9496045	0.45833886	1.1404223	-0.24496631	0.40060756	1.38255	-0.27657995	-1.6189591	1.0695553	0.7214061	-0.8609514	-0.15204892	1.0679654	4.5774746	0.51818216	0.7498358	0.49098143	-1.530125	-0.89033055	0.4358244	-0.4993319	0.56322145	-0.45484158	0.3441547	0.9245024	-1.4400202	0.22630656	-0.44751135	0.04283178	1.7748307	-0.115179405	0.37944514	-0.418222	0.9462082	-1.6096542	-0.0904946	0.86640173	0.31368768	0.78739566	1.3482565	0.48752493	0.20636113
TCGA-3C-AALJ-01A	-0.7169149	0.49984318	-0.8659586	1.504178	-0.78718674	0.3597051	0.19135746	0.24329461	0.24120349	0.0817765	-1.1345282	0.36897457	0.28370774	-1.1641278	0.37221578	-0.44487518	0.066174895	-1.6452459	-0.10597783	-0.70431685	-0.7432348	-2.88827	0.53860676	0.07856318	-0.12499412	0.2790614	-0.19657119	0.60891443	-0.8815752	-0.23687257	-0.8927915	-0.6430354	-0.63201	0.051646635	-0.8591359	0.13705966	2.7415671	0.20989908	-0.33770323	-0.11286933	-0.1936379	-1.1341988	1.3675675	0.2765874	1.4033442	0.37785506	-0.3503819	1.7989461	0.44361895	0.4140206
