	Ensembl_ID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	response_group
1	TCGA-3C-AAAU-01A	-1.3581644	0.7979263	-0.1650759	-0.7986278	0.5829185	-0.68457836	0.44212624	0.24707574	-0.14887415	0.71888024	-2.0824392	-0.28461352	-0.21527156	-1.0687034	-0.37654892	-0.9682029	0.2520344	0.97133124	0.6186946	-0.7670838	-0.7424885	-0.3205075	1.6320457	1.0442343	-0.17282267	1.1816145	0.5728684	-0.06238678	0.092059225	0.40360963	0.2622165	0.67324287	0.57895267	0.20846131	-0.21847382	0.14221106	1.4348643	-0.1345613	0.20319632	1.613139	0.0464319	0.21792743	-0.5111262	-0.44022906	1.935304	1.3220054	2.1399505	1.158827	-0.014269203	0.025444835	1
2	TCGA-3C-AALI-01A	-0.4512152	-2.3570642	-1.4099994	2.5687618	0.3637485	0.1160973	0.1637657	1.6512564	-0.3488167	0.43075016	-1.9098732	-0.7873829	-1.2102511	-0.7200875	1.3076041	0.7884993	-0.4658458	-1.4003932	-0.14753544	-0.09749994	-0.48699355	-3.0618575	0.96781826	-0.30976608	0.087929785	-0.24851	0.8823226	-0.39399868	-0.27404857	0.18641931	-0.09431999	-0.71670675	-0.10501804	0.80898184	-1.2015753	1.656894	3.7874703	0.24896969	-0.7034968	0.315329	-0.3879056	-2.031162	0.864252	-0.16906607	2.6286657	-1.1310455	-0.29284823	1.0265858	1.3405792	0.013184339	0
3	TCGA-3C-AALJ-01A	-0.7169149	0.49984318	-0.8659586	1.504178	-0.78718674	0.3597051	0.19135746	0.24329461	0.24120349	0.0817765	-1.1345282	0.36897457	0.28370774	-1.1641278	0.37221578	-0.44487518	0.066174895	-1.6452459	-0.10597783	-0.70431685	-0.7432348	-2.88827	0.53860676	0.07856318	-0.12499412	0.2790614	-0.19657119	0.60891443	-0.8815752	-0.23687257	-0.8927915	-0.6430354	-0.63201	0.051646635	-0.8591359	0.13705966	2.7415671	0.20989908	-0.33770323	-0.11286933	-0.1936379	-1.1341988	1.3675675	0.2765874	1.4033442	0.37785506	-0.3503819	1.7989461	0.44361895	0.4140206	0
4	TCGA-3C-AALK-01A	-1.0897404	0.16482233	-0.0062757432	-0.6006265	-1.4115167	-0.19243638	0.47764415	-0.5566124	0.4927454	-0.0314382	-0.6616524	-0.8302231	0.3195469	-0.9819942	-0.20486993	-0.076450095	1.6702677	-1.0810852	0.28533712	1.1706979	-0.528589	-1.058121	-0.19594327	0.92584544	-0.4324659	-0.86251855	-0.83936036	-0.0474391	-0.46779612	-0.5843336	-0.71668816	-0.017146453	-0.5635619	1.1450312	-0.43767995	0.037169006	0.80968004	1.0393751	-0.37655255	0.41192615	0.08788195	-0.4372072	2.1638217	-0.77427673	2.0633676	0.26286	-1.6346558	0.696998	0.8173453	0.40520796	0
5	TCGA-4H-AAAK-01A	-0.971763	0.8355514	0.6897367	-0.37664005	-1.1013745	-0.073673904	0.9615384	-1.151333	-0.24473801	-0.72879285	-0.8271882	0.2631206	-0.50832146	-1.3060833	0.37447974	-1.2471069	0.09349471	-1.3997478	1.2870889	0.28859392	-0.30066377	-0.15590197	-0.8476305	0.4397868	0.88361543	0.5963861	-1.0027473	0.5078932	-0.39518124	-0.5144882	-0.6338756	-0.1797773	0.5188927	0.14407088	-0.80812097	0.62038475	0.5970048	0.98600024	-0.8995404	0.2783767	0.43416402	-0.0020513386	1.7593794	0.7378285	1.3337543	-0.3185794	-0.67467475	1.15695	-0.09665811	0.7497867	0
8	TCGA-5T-A9QA-01A	0.25281876	-0.1929096	-1.1107119	1.4310955	-0.34235042	0.990063	-1.065187	2.3323178	-0.66008765	0.29798925	-1.1809157	0.047143996	-0.342938	1.2592183	-0.6058774	-0.2491774	0.8587667	0.7088994	0.09287746	0.33693916	0.7365439	-3.7645447	2.661358	-1.0617526	0.22298342	-0.22695035	0.8343351	-0.4707165	-0.22529449	0.9671129	0.8218857	-0.3472283	0.48424083	-0.30263215	1.912831	0.108721346	-1.0362979	-1.5623997	0.35414693	0.5863757	-1.0397134	-0.92241365	0.5286213	-0.5101287	0.8148025	-0.3205959	-0.030313004	-1.1743796	0.096511394	0.24304143	0
13	TCGA-A1-A0SG-01A	-0.57939553	0.39372736	-0.57234627	-0.50767535	0.16473958	-0.68828946	2.2103548	-1.109644	-1.2530608	-0.939059	0.3958545	1.0452425	-0.3343405	1.0373329	0.6782472	0.017072707	-0.19956404	-0.35002488	-0.78863466	-0.25063244	-0.8869918	1.4874862	-0.733243	0.35081533	0.21494968	0.61952245	-2.5234551	0.3917364	-0.5863005	1.0840876	-0.24371974	-0.85444736	-0.2543823	0.24430433	0.4905615	-0.5908632	-1.0902497	-0.8432422	-0.75611895	2.4349341	0.7999614	0.07832223	2.289842	-0.7873491	0.7888564	-0.70342606	-2.4021535	1.3371572	-0.039592862	0.7298177	0
14	TCGA-A1-A0SH-01A	-0.7181081	0.092199594	-0.5815013	0.3679689	1.3560952	-0.12403585	0.5386289	-0.7927629	0.34659654	-0.321937	3.6586173	-0.8551985	-0.31618753	-0.4170074	0.4924641	0.23697624	-0.0017374754	-1.9712381	0.27070576	1.2781423	0.032524973	2.1335917	-2.2178793	-1.1595141	1.0943754	0.5238464	0.8951303	0.58452857	-1.44255	0.7140383	0.27351728	-8.8356435e-05	0.6086127	0.13767785	-0.2175073	0.15205961	0.33873066	-0.4730845	-0.28059095	-1.7424338	-1.2580175	0.010236099	1.5875325	0.04351136	-2.693301	-0.09116696	-0.36077374	-0.6302129	1.9905928	-0.7975298	0
20	TCGA-A1-A0SO-01A	0.3035486	-0.72540075	0.5353113	0.24943736	0.6579529	-0.7889453	1.4688717	0.9668459	-0.52176464	-0.6479114	-0.26569495	-1.2566845	-0.021763861	-0.7006901	0.33274782	0.11470136	-0.8387775	1.0187572	0.14628588	0.646714	-0.75297993	-2.6162405	-1.1354277	-0.046948195	-0.73888546	-0.29047415	1.711206	1.6431434	-0.065515816	1.8315334	1.2225375	-0.62762344	-0.29807603	-0.09979665	-1.8919567	0.10592914	2.7624009	-0.529183	-1.2544107	-0.8612025	0.102579385	-0.34212548	-1.9978247	-0.4007697	-0.19760467	-0.011901498	1.8106416	1.4638082	0.20469913	0.0014532506	0
21	TCGA-A1-A0SP-01A	-1.3260463	0.77814555	0.33015177	-1.3153782	-0.45247203	0.24284169	0.14189783	1.2569399	-1.5748125	-0.9604644	1.5715795	0.5793583	0.73138744	1.3362156	-0.50147253	0.3357019	-0.37961322	-0.6555758	-1.2094973	1.061408	-0.19905233	-1.6077675	-0.5129237	0.09876622	0.9208058	1.3285332	0.2088474	-1.5609885	0.35397065	1.1941274	-0.62200433	0.24186185	-0.09333292	-0.13549262	-2.916304	-0.6318391	3.464637	0.416193	-1.4282678	-3.0307617	-0.6014296	-0.67679757	0.6665119	-0.6140382	-0.5419342	-0.18257791	0.7904928	2.284817	-0.46926308	-0.8098981	0
